id_manual,comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url,comentario_limpio,texto_modelo,longitud_caracteres,cantidad_palabras,comentario_corto,sin_contenido_alfabetico,duplicado_global,duplicado_empresa_sede,estrellas_validas,sentimiento_esperado,sentimiento_consistente,requiere_revision,motivo_revision,etiqueta_manual,observacion_manual
137,Se esmeran en dar una buena atención al cliente,Ripley,San Miguel,Retail,5,muy positivo,Hace 10 meses,"https://www.google.com/maps/place/Ripley+Plaza+San+Miguel/@-12.0774696,-77.0929724,15z/data=!4m8!3m7!1s0x9105c96d3859bb15:0xb58d1362f3ff5e0e!8m2!3d-12.0774908!4d-77.0826726!9m1!1b1!16s%2Fg%2F1tkkvyrf?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Se esmeran en dar una buena atención al cliente,se esmeran en dar una buena atención al cliente,47,9,False,False,False,False,True,muy positivo,True,False,,,
138,"Buena atención. Bastante variedad en artefactos eléctricos, ropa, perfumería y todo tipo de mensajes para el hogar. La atención es muy buena y siempre hay predisposición para ayudarte cuando realizas alguna consulta",Falabella,San Isidro,Retail,5,muy positivo,Hace 8 años,"https://www.google.com/maps/place/Falabella+San+Isidro/@-12.095059,-77.0353392,15z/data=!3m1!5s0x9105c8659f44c175:0xad6aabac9e79ccf4!4m8!3m7!1s0x9105c8659f618827:0xeb62a6d2d04ae434!8m2!3d-12.0950802!4d-77.0250394!9m1!1b1!16s%2Fg%2F12vr6lfkt?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Buena atención. Bastante variedad en artefactos eléctricos, ropa, perfumería y todo tipo de mensajes para el hogar. La atención es muy buena y siempre hay predisposición para ayudarte cuando realizas alguna consulta",buena atención bastante variedad en artefactos eléctricos ropa perfumería y todo tipo de mensajes para el hogar la atención es muy buena y siempre hay predisposición para ayudarte cuando realizas alguna consulta,215,32,False,False,False,False,True,muy positivo,True,False,,,
139,Frente a la salida de Metro la Marina se encuentra estos tomacorrientes expuestos,Metro,San Miguel,Retail,3,neutral,Hace 2 años,"https://www.google.com/maps/place/Metro+La+Marina/@-12.0891802,-77.3715373,10z/data=!4m12!1m2!2m1!1smetro+san+miguel!3m8!1s0x9105c97023499e85:0xcdd5aa58f24e5e51!8m2!3d-12.0766255!4d-77.0891354!9m1!1b1!15sChBtZXRybyBzYW4gbWlndWVsWhIiEG1ldHJvIHNhbiBtaWd1ZWySAQtzdXBlcm1hcmtldJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObE5UVXlObk5uUlJBQuABAPoBBAgAEEE!16s%2Fg%2F12vqp1m59?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Frente a la salida de Metro la Marina se encuentra estos tomacorrientes expuestos,frente a la salida de metro la marina se encuentra estos tomacorrientes expuestos,81,13,False,False,False,False,True,neutral,True,False,,,
140,Bueno. Aunque quitaron los juegos para niños.,Tottus,San Miguel,Retail,5,muy positivo,Fecha de edición: Hace 8 años,"https://www.google.com/maps/place/Tottus/@-12.0796251,-77.0990292,15z/data=!3m1!5s0x9105c97057064a8d:0x41fd3d4df91882d3!4m8!3m7!1s0x9105c97051ad2673:0x267a96504f49c637!8m2!3d-12.0796463!4d-77.0887294!9m1!1b1!16s%2Fg%2F11b6srlhk5?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Bueno. Aunque quitaron los juegos para niños.,bueno aunque quitaron los juegos para niños,45,7,False,False,False,False,True,muy positivo,True,False,,,
141,Demasiado personal que no sirve para nada. Pesima atencion. No se respeta la ley de atencion preferencial. Local palmeras movistar,Movistar,Los Olivos,Telecomunicaciones,1,muy negativo,Hace 8 años,"https://www.google.com/maps/place/Movistar/@-12.0012823,-77.0856623,14z/data=!4m12!1m2!2m1!1smovistar+los+olivos!3m8!1s0x9105cf035aadd309:0x278325a6ff63c9c!8m2!3d-11.9888504!4d-77.0723399!9m1!1b1!15sChNtb3Zpc3RhciBsb3Mgb2xpdm9zIgOIAQFaFSITbW92aXN0YXIgbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F1tgdv61q?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Demasiado personal que no sirve para nada. Pesima atencion. No se respeta la ley de atencion preferencial. Local palmeras movistar,demasiado personal que no sirve para nada pesima atencion no se respeta la ley de atencion preferencial local palmeras movistar,130,20,False,False,False,False,True,muy negativo,True,False,,,
142,No me parece justo que por pagar con una tarjeta de crédito extranjera se aplique el 3% de comisión del total de la compra realizada. Viajo a menudo a Peru y no volveré a comprar en este supermercado.,Plaza Vea,Miraflores,Retail,1,muy negativo,Hace un año,"https://www.google.com/maps/place/plazaVea+Miraflores/@-12.1122237,-77.031688,17z/data=!3m1!5s0x9105c814389568b9:0x57570d65053fb554!4m17!1m8!3m7!1s0x9105c8143897b2c1:0xb77f6c4ff4007d96!2sPlaza+Vea+Miraflores,+Av.+Arequipa+4651,+Miraflores+15046!3b1!8m2!3d-12.112229!4d-77.0291131!16s%2Fg%2F1jkxdgykk!3m7!1s0x9105c81438bc15af:0xde58cec54fd29387!8m2!3d-12.1123414!4d-77.0290861!9m1!1b1!16s%2Fg%2F1tfm2j25?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",No me parece justo que por pagar con una tarjeta de crédito extranjera se aplique el 3% de comisión del total de la compra realizada. Viajo a menudo a Peru y no volveré a comprar en este supermercado.,no me parece justo que por pagar con una tarjeta de crédito extranjera se aplique el 3 de comisión del total de la compra realizada viajo a menudo a peru y no volveré a comprar en este supermercado,200,38,False,False,False,False,True,muy negativo,True,False,,,
143,Muy bien los precios. Pero los servicios higiénicos están muy lejos. Hay q bajar escaleras. Y es retirado. Lo cual puede ser peligroso. Hace un tiempo use los servicios higiénicos con mucha premura y el sticker de la puerta estaba roto. Lo cual me dejó expuesta. No es muy cómodo para ir con niños pequeños o adulto mayor. Los artículos de menestras y condimentos están a veces combinados y en diferentes sitios. El área de limpieza está un poco incompleta. Le falta más variedad.,Tottus,San Miguel,Retail,3,neutral,Hace 6 años,"https://www.google.com/maps/place/Tottus/@-12.0796251,-77.0990292,15z/data=!3m1!5s0x9105c97057064a8d:0x41fd3d4df91882d3!4m8!3m7!1s0x9105c97051ad2673:0x267a96504f49c637!8m2!3d-12.0796463!4d-77.0887294!9m1!1b1!16s%2Fg%2F11b6srlhk5?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Muy bien los precios. Pero los servicios higiénicos están muy lejos. Hay q bajar escaleras. Y es retirado. Lo cual puede ser peligroso. Hace un tiempo use los servicios higiénicos con mucha premura y el sticker de la puerta estaba roto. Lo cual me dejó expuesta. No es muy cómodo para ir con niños pequeños o adulto mayor. Los artículos de menestras y condimentos están a veces combinados y en diferentes sitios. El área de limpieza está un poco incompleta. Le falta más variedad.,muy bien los precios pero los servicios higiénicos están muy lejos hay q bajar escaleras y es retirado lo cual puede ser peligroso hace un tiempo use los servicios higiénicos con mucha premura y el sticker de la puerta estaba roto lo cual me dejó expuesta no es muy cómodo para ir con niños pequeños o adulto mayor los artículos de menestras y condimentos están a veces combinados y en diferentes sitios el área de limpieza está un poco incompleta le falta más variedad,480,84,False,False,False,False,True,neutral,True,False,,,
144,Muy alto es el BBVA de san Isidro es casi un rascacielos,BBVA,San Isidro,Banca,5,muy positivo,Hace 3 años,"https://www.google.com/maps/place/BBVA+San+Isidro/@-12.0989572,-77.1197103,12z/data=!4m12!1m2!2m1!1sbbva+san+isidro!3m8!1s0x9105c8f55f4010bb:0x5808600f510cfb91!8m2!3d-12.0939282!4d-77.0211518!9m1!1b1!15sCg9iYnZhIHNhbiBpc2lkcm-SAQRiYW5r4AEA!16s%2Fg%2F1226g4gx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Muy alto es el BBVA de san Isidro es casi un rascacielos,muy alto es el bbva de san isidro es casi un rascacielos,56,12,False,False,False,False,True,muy positivo,True,False,,,
145,"Un lugar grande, quizás lo que puedo destacar mas ahi es la comodidad de su patio de comidas. Tuve una mala experiencia en Quality Products, te entregan productos que no son los mismos que te ofrecen - antes de pagar revisar dos veces.",Tottus,Atocongo,Retail,2,negativo,Hace 3 años,"https://www.google.com/maps/place/Tottus/@-12.1472344,-76.9920292,15z/data=!4m8!3m7!1s0x9105b869706d27f1:0x989b4442c72af420!8m2!3d-12.1472556!4d-76.9817294!9m1!1b1!16s%2Fg%2F119vsqj6c?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Un lugar grande, quizás lo que puedo destacar mas ahi es la comodidad de su patio de comidas. Tuve una mala experiencia en Quality Products, te entregan productos que no son los mismos que te ofrecen - antes de pagar revisar dos veces.",un lugar grande quizás lo que puedo destacar mas ahi es la comodidad de su patio de comidas tuve una mala experiencia en quality products te entregan productos que no son los mismos que te ofrecen antes de pagar revisar dos veces,235,42,False,False,False,False,True,negativo,True,False,,,
146,"Es una banco que vela por sus clientes, tiene un buen clima laboral y lo recomiendo 👌 👍🏾…",BBVA,San Isidro,Banca,5,muy positivo,Hace un año,"https://www.google.com/maps/place/BBVA+San+Isidro/@-12.0989572,-77.1197103,12z/data=!4m12!1m2!2m1!1sbbva+san+isidro!3m8!1s0x9105c8f55f4010bb:0x5808600f510cfb91!8m2!3d-12.0939282!4d-77.0211518!9m1!1b1!15sCg9iYnZhIHNhbiBpc2lkcm-SAQRiYW5r4AEA!16s%2Fg%2F1226g4gx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Es una banco que vela por sus clientes, tiene un buen clima laboral y lo recomiendo 👌 👍🏾…",es una banco que vela por sus clientes tiene un buen clima laboral y lo recomiendo,89,16,False,False,False,False,True,muy positivo,True,False,,,
147,"Una gran variedad de productos nacionales y importados, marcas muy buenas en vinos buenas ofertas en ropa",Tottus,Jockey Plaza,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/Tottus+Jockey+Plaza/@-12.0852978,-76.9891988,15z/data=!3m1!5s0x9105c7b3a8d76aa9:0xc6d50a7cd5ae2fea!4m8!3m7!1s0x9105c7b3024900c7:0x1999107f53756036!8m2!3d-12.085319!4d-76.978899!9m1!1b1!16s%2Fg%2F11bzrfl12g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Una gran variedad de productos nacionales y importados, marcas muy buenas en vinos buenas ofertas en ropa",una gran variedad de productos nacionales y importados marcas muy buenas en vinos buenas ofertas en ropa,105,17,False,False,False,False,True,muy positivo,True,False,,,
148,Pésimo servicio online me cobraron 2 veces por el mismo producto y se lo cobraron en segu dos porque había disponibilidad y cuando reviso mi cuenta oh sorpresa ya se cobraron y me llega un correo que no hay producto pero voy a hacer el reclamo para la devolución de mi dinero y la devolución demorará 30 días sin embargo le lo cobraron en segundos perjudicandome a mi,Ripley,Jockey Plaza,Retail,1,muy negativo,Hace 6 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Pésimo servicio online me cobraron 2 veces por el mismo producto y se lo cobraron en segu dos porque había disponibilidad y cuando reviso mi cuenta oh sorpresa ya se cobraron y me llega un correo que no hay producto pero voy a hacer el reclamo para la devolución de mi dinero y la devolución demorará 30 días sin embargo le lo cobraron en segundos perjudicandome a mi,pésimo servicio online me cobraron 2 veces por el mismo producto y se lo cobraron en segu dos porque había disponibilidad y cuando reviso mi cuenta oh sorpresa ya se cobraron y me llega un correo que no hay producto pero voy a hacer el reclamo para la devolución de mi dinero y la devolución demorará 30 días sin embargo le lo cobraron en segundos perjudicandome a mi,367,68,False,False,False,False,True,muy negativo,True,False,,,
149,"Recibo correos electrónicos fraudulentos. He intentado llamar desde este lugar, pero parece que no quieren ayudarme. Voy a demandar a la persona que usa mi nombre y correo electrónico para estas transacciones. Y demandaré a esta empresa o a este edificio en particular por falta de ayuda. Llevo un año enviando correos y llamando.",BBVA,San Isidro,Banca,1,muy negativo,Hace 4 años,"https://www.google.com/maps/place/BBVA+San+Isidro/@-12.0989572,-77.1197103,12z/data=!4m12!1m2!2m1!1sbbva+san+isidro!3m8!1s0x9105c8f55f4010bb:0x5808600f510cfb91!8m2!3d-12.0939282!4d-77.0211518!9m1!1b1!15sCg9iYnZhIHNhbiBpc2lkcm-SAQRiYW5r4AEA!16s%2Fg%2F1226g4gx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Recibo correos electrónicos fraudulentos. He intentado llamar desde este lugar, pero parece que no quieren ayudarme. Voy a demandar a la persona que usa mi nombre y correo electrónico para estas transacciones. Y demandaré a esta empresa o a este edificio en particular por falta de ayuda. Llevo un año enviando correos y llamando.",recibo correos electrónicos fraudulentos he intentado llamar desde este lugar pero parece que no quieren ayudarme voy a demandar a la persona que usa mi nombre y correo electrónico para estas transacciones y demandaré a esta empresa o a este edificio en particular por falta de ayuda llevo un año enviando correos y llamando,330,54,False,False,False,False,True,muy negativo,True,False,,,
150,Muy agradable lugar. Es mi preferido. Es un gusto comprar ahi. Como sugerencia un poco mas de control con el distanciamiento social. Mucha gente en el local No hay control en las cocheras. La gente anda sin mascarillas. Falta un cartel grandazo para los ignorantes.,Wong,San Isidro,Retail,3,neutral,Hace 5 años,"https://www.google.com/maps/place/Wong+Dos+de+Mayo/@-12.0919728,-77.0521564,15z/data=!4m8!3m7!1s0x9105c85a2cafbeed:0xff7fa211810ed3fb!8m2!3d-12.091994!4d-77.0418566!9m1!1b1!16s%2Fg%2F1td3skj_?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Muy agradable lugar. Es mi preferido. Es un gusto comprar ahi. Como sugerencia un poco mas de control con el distanciamiento social. Mucha gente en el local No hay control en las cocheras. La gente anda sin mascarillas. Falta un cartel grandazo para los ignorantes.,muy agradable lugar es mi preferido es un gusto comprar ahi como sugerencia un poco mas de control con el distanciamiento social mucha gente en el local no hay control en las cocheras la gente anda sin mascarillas falta un cartel grandazo para los ignorantes,265,45,False,False,False,False,True,neutral,True,False,,,
151,"Estafadores con sus ofertas, compre una mesa de comedor hace 1 mes y no llega y me dicen que no hay en stock, sin embargo la mesa la siguen vendiendo y de un día para otro el precio ha subido sabiendo que no tienen para seguir estafando a la gente. Acaban de sacar una oferta y tengan en cuenta los carteles con el precio original de un día para otro vario para disque venderlo con descuento, esto en todos lados es una estafa, no compren este producto porque van a obtener un dolor de cabeza",Ripley,Jockey Plaza,Retail,1,muy negativo,Hace 6 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Estafadores con sus ofertas, compre una mesa de comedor hace 1 mes y no llega y me dicen que no hay en stock, sin embargo la mesa la siguen vendiendo y de un día para otro el precio ha subido sabiendo que no tienen para seguir estafando a la gente. Acaban de sacar una oferta y tengan en cuenta los carteles con el precio original de un día para otro vario para disque venderlo con descuento, esto en todos lados es una estafa, no compren este producto porque van a obtener un dolor de cabeza",estafadores con sus ofertas compre una mesa de comedor hace 1 mes y no llega y me dicen que no hay en stock sin embargo la mesa la siguen vendiendo y de un día para otro el precio ha subido sabiendo que no tienen para seguir estafando a la gente acaban de sacar una oferta y tengan en cuenta los carteles con el precio original de un día para otro vario para disque venderlo con descuento esto en todos lados es una estafa no compren este producto porque van a obtener un dolor de cabeza,492,95,False,False,False,False,True,muy negativo,True,False,,,
152,Pésima atención al cliente. Me dijeron que cambiaron mi plan sin mi autorización y cuando solicité mayor información no me la quisieron dar.,Entel,San Miguel,Telecomunicaciones,1,muy negativo,Hace 4 años,"https://www.google.com/maps/place/TIENDA+PLAZA+SAN+MIGUEL+-+ENTEL/@-12.0763584,-77.0928335,15z/data=!3m1!5s0x9105c971d670aa0f:0x8193992371f626fa!4m8!3m7!1s0x9105c96d7da22637:0x682badb0e9bd7614!8m2!3d-12.0763796!4d-77.0825337!9m1!1b1!16s%2Fg%2F11b6qyzz6h?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Pésima atención al cliente. Me dijeron que cambiaron mi plan sin mi autorización y cuando solicité mayor información no me la quisieron dar.,pésima atención al cliente me dijeron que cambiaron mi plan sin mi autorización y cuando solicité mayor información no me la quisieron dar,140,23,False,False,False,False,True,muy negativo,True,False,,,
153,estuve 9pm y la pregunte x un cosmetico y la jefa de ese sector dijo q bo gabia quien me atienda x q el personal solo trabajs 8 hrs y se van... a lo q le dije deberian estar hasta q la tienda cierre....pesimo ! fue oechsle de rambla en San Borja,Oechsle,Jockey Plaza,Retail,3,neutral,Hace 7 años,"https://www.google.com/maps/place/Oechsle+Jockey+Plaza/@-12.086616,-76.9755849,17z/data=!4m8!3m7!1s0x9105c7ad8cbc3bdd:0x1eb0fa0150c6d250!8m2!3d-12.086616!4d-76.9755849!9m1!1b1!16s%2Fg%2F11b6vd8v1c?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",estuve 9pm y la pregunte x un cosmetico y la jefa de ese sector dijo q bo gabia quien me atienda x q el personal solo trabajs 8 hrs y se van... a lo q le dije deberian estar hasta q la tienda cierre....pesimo ! fue oechsle de rambla en San Borja,estuve 9pm y la pregunte x un cosmetico y la jefa de ese sector dijo q bo gabia quien me atienda x q el personal solo trabajs 8 hrs y se van a lo q le dije deberian estar hasta q la tienda cierre pesimo fue oechsle de rambla en san borja,245,52,False,False,False,False,True,neutral,True,False,,,
154,"Los headquarters del BBVA Banco Continental. Es un edificio bastante grande ubicado en Corpac, San Isidro. Si vas en carro por la tarde no encontrarás estacionamiento.",BBVA,San Isidro,Banca,5,muy positivo,Hace 9 años,"https://www.google.com/maps/place/BBVA+San+Isidro/@-12.0989572,-77.1197103,12z/data=!4m12!1m2!2m1!1sbbva+san+isidro!3m8!1s0x9105c8f55f4010bb:0x5808600f510cfb91!8m2!3d-12.0939282!4d-77.0211518!9m1!1b1!15sCg9iYnZhIHNhbiBpc2lkcm-SAQRiYW5r4AEA!16s%2Fg%2F1226g4gx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Los headquarters del BBVA Banco Continental. Es un edificio bastante grande ubicado en Corpac, San Isidro. Si vas en carro por la tarde no encontrarás estacionamiento.",los headquarters del bbva banco continental es un edificio bastante grande ubicado en corpac san isidro si vas en carro por la tarde no encontrarás estacionamiento,167,26,False,False,False,False,True,muy positivo,True,False,,,
155,"Hay muchas ofertas buenas, me gustó ir después de tiempo, todo súper.",Plaza Vea,Jockey Plaza,Retail,5,muy positivo,Hace 4 años,"https://www.google.com/maps/place/Plaza+Vea/@-12.0849708,-76.978382,17z/data=!4m8!3m7!1s0x9105c7b29d8327ab:0x53a1dec5abe39636!8m2!3d-12.0849761!4d-76.9758071!9m1!1b1!16s%2Fg%2F1tcw4phd?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Hay muchas ofertas buenas, me gustó ir después de tiempo, todo súper.",hay muchas ofertas buenas me gustó ir después de tiempo todo súper,69,12,False,False,False,False,True,muy positivo,True,False,,,
156,"Me encanta este sitio hay para todo y para todos ☺️ pasa el día entero y no te aburres , tomar café hacer compras y por último las cosas que necesitas para cocinar ... Disfruta el paseo por este sitio tan ..... Me encanta , no me canso de visitarlo",Plaza Vea,Jockey Plaza,Retail,5,muy positivo,Hace 4 años,"https://www.google.com/maps/place/Plaza+Vea/@-12.0849708,-76.978382,17z/data=!4m8!3m7!1s0x9105c7b29d8327ab:0x53a1dec5abe39636!8m2!3d-12.0849761!4d-76.9758071!9m1!1b1!16s%2Fg%2F1tcw4phd?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Me encanta este sitio hay para todo y para todos ☺️ pasa el día entero y no te aburres , tomar café hacer compras y por último las cosas que necesitas para cocinar ... Disfruta el paseo por este sitio tan ..... Me encanta , no me canso de visitarlo",me encanta este sitio hay para todo y para todos pasa el día entero y no te aburres tomar café hacer compras y por último las cosas que necesitas para cocinar disfruta el paseo por este sitio tan me encanta no me canso de visitarlo,248,45,False,False,False,False,True,muy positivo,True,False,,,
157,"Tienen una muy amplia variedad de productos: Panadería, carnes, congelados, frutas y verduras, embutidos, lácteos, menestras, osas para el hogar, electrodomésticos, juguetes y productos de limpieza. Brindan una buena atención, pero por lo general las cajas siempre están llenas, pero si lleva 10 artículos o menos puede pasar a caja rápida o al autoservicio.",Wong,San Isidro,Retail,5,muy positivo,Hace 2 años,"https://www.google.com/maps/place/Wong+Dos+de+Mayo/@-12.0919728,-77.0521564,15z/data=!4m8!3m7!1s0x9105c85a2cafbeed:0xff7fa211810ed3fb!8m2!3d-12.091994!4d-77.0418566!9m1!1b1!16s%2Fg%2F1td3skj_?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Tienen una muy amplia variedad de productos: Panadería, carnes, congelados, frutas y verduras, embutidos, lácteos, menestras, osas para el hogar, electrodomésticos, juguetes y productos de limpieza. Brindan una buena atención, pero por lo general las cajas siempre están llenas, pero si lleva 10 artículos o menos puede pasar a caja rápida o al autoservicio.",tienen una muy amplia variedad de productos panadería carnes congelados frutas y verduras embutidos lácteos menestras osas para el hogar electrodomésticos juguetes y productos de limpieza brindan una buena atención pero por lo general las cajas siempre están llenas pero si lleva 10 artículos o menos puede pasar a caja rápida o al autoservicio,358,54,False,False,False,False,True,muy positivo,True,False,,,
158,Todo bien...para mi gusto deberían vender ropa de mejor calidad...también deberían colgar las prendas planchada y no dejarlas arrugadas.,Falabella,Miraflores,Retail,4,positivo,Hace 6 meses,"https://www.google.com/maps/place/Falabella+Miraflores/@-12.1189161,-77.0396353,15z/data=!3m1!5s0x9105c81763e2747b:0x674025098786c509!4m8!3m7!1s0x9105c8176149b98f:0xa9c9d111f1acf623!8m2!3d-12.1189373!4d-77.0293355!9m1!1b1!16s%2Fg%2F1hf33fyft?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Todo bien...para mi gusto deberían vender ropa de mejor calidad...también deberían colgar las prendas planchada y no dejarlas arrugadas.,todo bien para mi gusto deberían vender ropa de mejor calidad también deberían colgar las prendas planchada y no dejarlas arrugadas,136,21,False,False,False,False,True,positivo,True,False,,,
159,Pésima información en atención al cliente. NO brinda una información veraz al cliente. Y su financiera es otro centro de engaños. Compre artefacto nuevo no funciona bien y los tecnicos ni se presentan .pido anular la venta y la financiera dice cancelar y después de un mes ne devolverán el efectivo . ENGAÑO TOTAL.....Y es hora de acudir a las entidades pertinentes quien nos proteje como clientes.,Oechsle,Plaza Norte,Retail,1,muy negativo,Hace 7 años,"https://www.google.com/maps/place/Oechsle+-+Plaza+Norte/@-12.0057768,-77.128451,12z/data=!3m1!5s0x11d62a0a81fe2803:0x123dd954ecd1a108!4m12!1m2!2m1!1sOechsle+san+miguel!3m8!1s0x9105cefd6554a025:0x40a7fed0ea54e457!8m2!3d-12.0057768!4d-77.0584132!9m1!1b1!15sChJPZWNoc2xlIHNhbiBtaWd1ZWwiA4gBAVoUIhJvZWNoc2xlIHNhbiBtaWd1ZWySARBkZXBhcnRtZW50X3N0b3Jl4AEA!16s%2Fg%2F11b6v29479?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Pésima información en atención al cliente. NO brinda una información veraz al cliente. Y su financiera es otro centro de engaños. Compre artefacto nuevo no funciona bien y los tecnicos ni se presentan .pido anular la venta y la financiera dice cancelar y después de un mes ne devolverán el efectivo . ENGAÑO TOTAL.....Y es hora de acudir a las entidades pertinentes quien nos proteje como clientes.,pésima información en atención al cliente no brinda una información veraz al cliente y su financiera es otro centro de engaños compre artefacto nuevo no funciona bien y los tecnicos ni se presentan pido anular la venta y la financiera dice cancelar y después de un mes ne devolverán el efectivo engaño total y es hora de acudir a las entidades pertinentes quien nos proteje como clientes,398,67,False,False,False,False,True,muy negativo,True,False,,,
160,No solucionan nada estoy más de un año asiendo un reclamo algo que solicité y me están cobrando . Pésimos maltratan a todos solo veo reclamos de la gente que nada que solucionan Hasta cuando van a escucharnos.,Movistar,San Isidro,Telecomunicaciones,1,muy negativo,Hace 5 años,"https://www.google.com/maps/place/Movistar+-+Centro+de+Atenci%C3%B3n+y+Venta+San+Isidro+-+Juan+de+Arona/@-12.0964878,-77.0379758,15z/data=!3m1!5s0x9105c86f55516a2b:0xb4bdd97027c54e51!4m8!3m7!1s0x9105c86f5551a06f:0x8a1f64392d6a1f9f!8m2!3d-12.096509!4d-77.027676!9m1!1b1!16s%2Fg%2F11bc95wrd7?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",No solucionan nada estoy más de un año asiendo un reclamo algo que solicité y me están cobrando . Pésimos maltratan a todos solo veo reclamos de la gente que nada que solucionan Hasta cuando van a escucharnos.,no solucionan nada estoy más de un año asiendo un reclamo algo que solicité y me están cobrando pésimos maltratan a todos solo veo reclamos de la gente que nada que solucionan hasta cuando van a escucharnos,209,37,False,False,False,False,True,muy negativo,True,False,,,
161,"Buena atencion, pero sospechosa y yo sugeriria que la atencion al cliente no sea inquisitiva como lo hizo una señorita que en la ventanilla tiene un cartel de ""amo el boxeo"" respecto a informacion personal y domiciliaria me parece que trabaja con marcas.",Interbank,Miraflores,Banca,2,negativo,Editado Hace 8 años,"https://www.google.com/maps/place/Interbank/@-12.1243336,-77.0296634,21z/data=!3m1!5s0x9105c81933947d71:0xfc5c05da2e88b46f!4m8!3m7!1s0x9105c819315b5649:0xd92af107d5ffeedc!8m2!3d-12.1243573!4d-77.0295796!9m1!1b1!16s%2Fg%2F1wc490j1?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","Buena atencion, pero sospechosa y yo sugeriria que la atencion al cliente no sea inquisitiva como lo hizo una señorita que en la ventanilla tiene un cartel de ""amo el boxeo"" respecto a informacion personal y domiciliaria me parece que trabaja con marcas.",buena atencion pero sospechosa y yo sugeriria que la atencion al cliente no sea inquisitiva como lo hizo una señorita que en la ventanilla tiene un cartel de amo el boxeo respecto a informacion personal y domiciliaria me parece que trabaja con marcas,254,43,False,False,False,False,True,negativo,True,False,,,
