comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url,comentario_limpio,texto_modelo,longitud_caracteres,cantidad_palabras,comentario_corto,sin_contenido_alfabetico,duplicado_global,duplicado_empresa_sede,estrellas_validas,sentimiento_esperado,sentimiento_consistente,requiere_revision,motivo_revision
Me gusto el lugar ya que es muy amplio con productos de buena calidad y su personal son muy atentos.,Wong,La Molina,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/Wong+La+Molina/@-12.0909119,-77.371532,10z/data=!4m12!1m2!2m1!1swong+la+molina!3m8!1s0x9105c71a9112c9a1:0xf1ccb920f195bc5b!8m2!3d-12.0919991!4d-76.9514207!9m1!1b1!15sCg53b25nIGxhIG1vbGluYSIDiAEBWhAiDndvbmcgbGEgbW9saW5hkgELc3VwZXJtYXJrZXSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRTYkdSdVdYUlJWa1p5Vld4UmQxTkZNVE5VUjJSeVRsaG9UMUpWUlJBQuABAPoBBAgAECE!16s%2Fg%2F1tm8g106?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Me gusto el lugar ya que es muy amplio con productos de buena calidad y su personal son muy atentos.,me gusto el lugar ya que es muy amplio con productos de buena calidad y su personal son muy atentos,100,20,False,False,False,False,True,muy positivo,True,False,
"Pésima atención, la música de fondo es Reguetón, los vendedores conversando entre ellos y lo peor de todo TE DAN LA ROPA QUE COMPRAS EN LA MANO!! SI QUIERES BOLSA SON 0.30centavos? PÉSIMA ATENCIÓN CON RAZÓN ESTA VACÍO EL LOCAL. MALASO PÉSIMA EXPERIENCIA!! NO LO RECOMIENDO.",Ripley,Miraflores,Retail,1,muy negativo,Fecha de edición: Hace 4 años,"https://www.google.com/maps/place/Ripley+Miraflores/@-12.1230752,-77.0404893,15z/data=!4m8!3m7!1s0x9105c8191c65706b:0xe588d29fabe35574!8m2!3d-12.1230964!4d-77.0301895!9m1!1b1!16s%2Fg%2F11r8v2c0z?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Pésima atención, la música de fondo es Reguetón, los vendedores conversando entre ellos y lo peor de todo TE DAN LA ROPA QUE COMPRAS EN LA MANO!! SI QUIERES BOLSA SON 0.30centavos? PÉSIMA ATENCIÓN CON RAZÓN ESTA VACÍO EL LOCAL. MALASO PÉSIMA EXPERIENCIA!! NO LO RECOMIENDO.",pésima atención la música de fondo es reguetón los vendedores conversando entre ellos y lo peor de todo te dan la ropa que compras en la mano si quieres bolsa son 0 30centavos pésima atención con razón esta vacío el local malaso pésima experiencia no lo recomiendo,273,47,False,False,False,False,True,muy negativo,True,False,
"Supermercado grande con todos los productos de primera necesidad para el hogar, electrodomésticos, colchones y otros enseres más; todos a muy buenos precios",Metro,Breña,Retail,4,positivo,Hace 7 meses,"https://www.google.com/maps/place/Metro+Bre%C3%B1a/@-12.053956,-77.0534221,15z/data=!4m8!3m7!1s0x9105c8c53e4b0cb1:0x35d73616c6af137!8m2!3d-12.0539772!4d-77.0431223!9m1!1b1!16s%2Fg%2F11h1cmj1r?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Supermercado grande con todos los productos de primera necesidad para el hogar, electrodomésticos, colchones y otros enseres más; todos a muy buenos precios",supermercado grande con todos los productos de primera necesidad para el hogar electrodomésticos colchones y otros enseres más todos a muy buenos precios,156,23,False,False,False,False,True,positivo,True,False,
A ver: primero que tienes que contar una historia al que reparte los tickets para atención y te pasa a donde quiere el o según lo que cree debe ser y no puedes.consultar nada; si uno pide atención por su celular lo mínimo es que te atienda una representante de servicio y tú puedas exponer tu caso. No puedes ir contando la mismo a varias personas,Movistar,Miraflores,Telecomunicaciones,1,muy negativo,Hace 6 años,"https://www.google.com/maps/place/Movistar/@-12.1186158,-77.03333,16z/data=!4m12!1m2!2m1!1smovistar+miraflores!3m8!1s0x9105c81c0cef6c61:0x2aed58e607474fbf!8m2!3d-12.1248277!4d-77.026139!9m1!1b1!15sChNtb3Zpc3RhciBtaXJhZmxvcmVzIgOIAQFaFSITbW92aXN0YXIgbWlyYWZsb3Jlc5IBEXRlbGVwaG9uZV9jb21wYW554AEA!16s%2Fg%2F11bc73m4zm?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",A ver: primero que tienes que contar una historia al que reparte los tickets para atención y te pasa a donde quiere el o según lo que cree debe ser y no puedes.consultar nada; si uno pide atención por su celular lo mínimo es que te atienda una representante de servicio y tú puedas exponer tu caso. No puedes ir contando la mismo a varias personas,a ver primero que tienes que contar una historia al que reparte los tickets para atención y te pasa a donde quiere el o según lo que cree debe ser y no puedes consultar nada si uno pide atención por su celular lo mínimo es que te atienda una representante de servicio y tú puedas exponer tu caso no puedes ir contando la mismo a varias personas,347,67,False,False,False,False,True,muy negativo,True,False,
Me atendieron rápido,Falabella,San Isidro,Retail,5,muy positivo,Hace 3 meses,"https://www.google.com/maps/place/Falabella+San+Isidro/@-12.095059,-77.0353392,15z/data=!3m1!5s0x9105c8659f44c175:0xad6aabac9e79ccf4!4m8!3m7!1s0x9105c8659f618827:0xeb62a6d2d04ae434!8m2!3d-12.0950802!4d-77.0250394!9m1!1b1!16s%2Fg%2F12vr6lfkt?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Me atendieron rápido,me atendieron rápido,20,3,False,False,False,False,True,muy positivo,True,False,
"Esta tienda tiene un pésimo servicio, debes comprar 50 soles para que te den media hora de estacionamiento libre y por una hora te exigen 199 soles de compras, yo compré 180 soles y se demoraron con un problema propio de la tienda, filas grandes de personas por caja y en el parqueo tuve que pagar 5 soles, porque estuve 1.5horas, hoy fue la última vez que he ido, ni más.",Plaza Vea,Universitaria,Retail,1,muy negativo,Fecha de edición: Hace 4 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","Esta tienda tiene un pésimo servicio, debes comprar 50 soles para que te den media hora de estacionamiento libre y por una hora te exigen 199 soles de compras, yo compré 180 soles y se demoraron con un problema propio de la tienda, filas grandes de personas por caja y en el parqueo tuve que pagar 5 soles, porque estuve 1.5horas, hoy fue la última vez que he ido, ni más.",esta tienda tiene un pésimo servicio debes comprar 50 soles para que te den media hora de estacionamiento libre y por una hora te exigen 199 soles de compras yo compré 180 soles y se demoraron con un problema propio de la tienda filas grandes de personas por caja y en el parqueo tuve que pagar 5 soles porque estuve 1 5horas hoy fue la última vez que he ido ni más,372,72,False,False,False,False,True,muy negativo,True,False,
"La atención es una porquería, ya que voy a la 1pm y me dicen que están almorzando , no entiendo ????? Se supone que los horarios de almuerzo son diferentes para cada uno por ese tema que no se pueden quedar sin atención",Entel,San Isidro,Telecomunicaciones,1,muy negativo,Hace un año,"https://www.google.com/maps/place/TIENDA+PASEO+DE+LA+REPUBLICA+-+ENTEL/@-12.0982674,-77.0367448,15z/data=!3m1!5s0x9105c86f3dde4ac1:0x933beb97bca362e3!4m8!3m7!1s0x9105c865ea057e4f:0x4b6811f4738d98a0!8m2!3d-12.0982886!4d-77.026445!9m1!1b1!16s%2Fg%2F1vs1syvx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","La atención es una porquería, ya que voy a la 1pm y me dicen que están almorzando , no entiendo ????? Se supone que los horarios de almuerzo son diferentes para cada uno por ese tema que no se pueden quedar sin atención",la atención es una porquería ya que voy a la 1pm y me dicen que están almorzando no entiendo se supone que los horarios de almuerzo son diferentes para cada uno por ese tema que no se pueden quedar sin atención,219,41,False,False,False,False,True,muy negativo,True,False,
"Buenas ubicación, me gusta el lugar y el servicio de recojo en tienda, de las compras que hago por internet, siempre en la fecha indicada, bien servicio",Ripley,Miraflores,Retail,4,positivo,Hace 7 meses,"https://www.google.com/maps/place/Ripley+Miraflores/@-12.1230752,-77.0404893,15z/data=!4m8!3m7!1s0x9105c8191c65706b:0xe588d29fabe35574!8m2!3d-12.1230964!4d-77.0301895!9m1!1b1!16s%2Fg%2F11r8v2c0z?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Buenas ubicación, me gusta el lugar y el servicio de recojo en tienda, de las compras que hago por internet, siempre en la fecha indicada, bien servicio",buenas ubicación me gusta el lugar y el servicio de recojo en tienda de las compras que hago por internet siempre en la fecha indicada bien servicio,152,27,False,False,False,False,True,positivo,True,False,
"Supermercado muy implementado y con ambientes amplios para poder adquirir abarrotes, lácteos, embutidos, postres, verduras, frutas, ropa, juguetes, bisutería, útiles escolares. Muy buena atención de los chicos(as) amables, atentos y muy colaboradores para trasladar las compras a nuestros vehículos. Cajas rápidas, precios cómodos, y seguridad en todo momento.",Wong,La Molina,Retail,5,muy positivo,Hace 5 años,"https://www.google.com/maps/place/Wong+La+Molina/@-12.0909119,-77.371532,10z/data=!4m12!1m2!2m1!1swong+la+molina!3m8!1s0x9105c71a9112c9a1:0xf1ccb920f195bc5b!8m2!3d-12.0919991!4d-76.9514207!9m1!1b1!15sCg53b25nIGxhIG1vbGluYSIDiAEBWhAiDndvbmcgbGEgbW9saW5hkgELc3VwZXJtYXJrZXSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRTYkdSdVdYUlJWa1p5Vld4UmQxTkZNVE5VUjJSeVRsaG9UMUpWUlJBQuABAPoBBAgAECE!16s%2Fg%2F1tm8g106?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Supermercado muy implementado y con ambientes amplios para poder adquirir abarrotes, lácteos, embutidos, postres, verduras, frutas, ropa, juguetes, bisutería, útiles escolares. Muy buena atención de los chicos(as) amables, atentos y muy colaboradores para trasladar las compras a nuestros vehículos. Cajas rápidas, precios cómodos, y seguridad en todo momento.",supermercado muy implementado y con ambientes amplios para poder adquirir abarrotes lácteos embutidos postres verduras frutas ropa juguetes bisutería útiles escolares muy buena atención de los chicos as amables atentos y muy colaboradores para trasladar las compras a nuestros vehículos cajas rápidas precios cómodos y seguridad en todo momento,360,49,False,False,False,False,True,muy positivo,True,False,
"Atención personalizada desde el ingreso, que bueno, soy un adulto mayor y la atención que me han dado excelente y rapida con respuestas sustentadas, es una agradable sorpresa para mi. Es la segunda vez que utilizo esta agencia y me han atendido de la misma manera. Excelente trato personalizado. Gracias Interbank, que no decaiga su atención.",Interbank,San Isidro,Banca,5,muy positivo,Hace 2 años,"https://www.google.com/maps/place/Interbank+Canaval+y+Moreyra/@-11.9728944,-77.2335644,11z/data=!4m12!1m2!2m1!1sinterbank+san+isidro!3m8!1s0x9105c86ff3e8bb87:0x30ed530aca140b0!8m2!3d-12.0968614!4d-77.022676!9m1!1b1!15sChRpbnRlcmJhbmsgc2FuIGlzaWRybyIDiAEBkgEEYmFua-ABAA!16s%2Fg%2F12hnzn8k6?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Atención personalizada desde el ingreso, que bueno, soy un adulto mayor y la atención que me han dado excelente y rapida con respuestas sustentadas, es una agradable sorpresa para mi. Es la segunda vez que utilizo esta agencia y me han atendido de la misma manera. Excelente trato personalizado. Gracias Interbank, que no decaiga su atención.",atención personalizada desde el ingreso que bueno soy un adulto mayor y la atención que me han dado excelente y rapida con respuestas sustentadas es una agradable sorpresa para mi es la segunda vez que utilizo esta agencia y me han atendido de la misma manera excelente trato personalizado gracias interbank que no decaiga su atención,342,56,False,False,False,False,True,muy positivo,True,False,
"Sí, estuve en la tienda Wong de bajada Balta, de Miraflores , me encanta esa tienda ( bueno otras de Wong también), excelente , encuentro de todo en sus dos pisos, me encanta la calidad y el orden y pulcritud de la tienda, muy buen servicio, compré verduras, abarrotes, vino, librería ...de todo un poco....feliz!! I love You Wong. ❤️",Wong,Miraflores,Retail,5,muy positivo,Hace 4 años,"https://www.google.com/maps/place/Wong+Balta/@-12.0918647,-77.0830566,13z/data=!4m12!1m2!2m1!1swong+miraflores!3m8!1s0x9105c818937627d1:0x58b52912789b6072!8m2!3d-12.1229264!4d-77.0321381!9m1!1b1!15sCg93b25nIG1pcmFmbG9yZXMiA4gBAVoRIg93b25nIG1pcmFmbG9yZXOSAQtzdXBlcm1hcmtldOABAA!16s%2Fg%2F11b6gnjz11?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Sí, estuve en la tienda Wong de bajada Balta, de Miraflores , me encanta esa tienda ( bueno otras de Wong también), excelente , encuentro de todo en sus dos pisos, me encanta la calidad y el orden y pulcritud de la tienda, muy buen servicio, compré verduras, abarrotes, vino, librería ...de todo un poco....feliz!! I love You Wong. ❤️",sí estuve en la tienda wong de bajada balta de miraflores me encanta esa tienda bueno otras de wong también excelente encuentro de todo en sus dos pisos me encanta la calidad y el orden y pulcritud de la tienda muy buen servicio compré verduras abarrotes vino librería de todo un poco feliz i love you wong,334,57,False,False,False,False,True,muy positivo,True,False,
Supermercado amplio con pasillos comodos. Alta variedad y calidad en sus productos. Cajas con servicio rápido. Personal capacitado y dispuesto a ayudar. Cuenta con estacionamiento. Aparcamiento para bicis zona para amarrar mascotas. Servicio de taxi en la puerta. Panaderia. Cosas para el hogar. Jugueteria. Recomendado,Tottus,Atocongo,Retail,5,muy positivo,Hace 3 años,"https://www.google.com/maps/place/Tottus/@-12.1472344,-76.9920292,15z/data=!4m8!3m7!1s0x9105b869706d27f1:0x989b4442c72af420!8m2!3d-12.1472556!4d-76.9817294!9m1!1b1!16s%2Fg%2F119vsqj6c?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Supermercado amplio con pasillos comodos. Alta variedad y calidad en sus productos. Cajas con servicio rápido. Personal capacitado y dispuesto a ayudar. Cuenta con estacionamiento. Aparcamiento para bicis zona para amarrar mascotas. Servicio de taxi en la puerta. Panaderia. Cosas para el hogar. Jugueteria. Recomendado,supermercado amplio con pasillos comodos alta variedad y calidad en sus productos cajas con servicio rápido personal capacitado y dispuesto a ayudar cuenta con estacionamiento aparcamiento para bicis zona para amarrar mascotas servicio de taxi en la puerta panaderia cosas para el hogar jugueteria recomendado,319,45,False,False,False,False,True,muy positivo,True,False,
"Es super variado, tiene de todo para todos los gustos, los precios son razonables y siempre hay ofertas especiales.",Falabella,Miraflores,Retail,5,muy positivo,Hace 10 meses,"https://www.google.com/maps/place/Falabella+Miraflores/@-12.1189161,-77.0396353,15z/data=!3m1!5s0x9105c81763e2747b:0x674025098786c509!4m8!3m7!1s0x9105c8176149b98f:0xa9c9d111f1acf623!8m2!3d-12.1189373!4d-77.0293355!9m1!1b1!16s%2Fg%2F1hf33fyft?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Es super variado, tiene de todo para todos los gustos, los precios son razonables y siempre hay ofertas especiales.",es super variado tiene de todo para todos los gustos los precios son razonables y siempre hay ofertas especiales,115,19,False,False,False,False,True,muy positivo,True,False,
Variedad y frutas frescas. Que fue lo principal en esa visita. Adicionalmente un pan con hotdog para acompañar el jugo de fruta.,Plaza Vea,Jockey Plaza,Retail,4,positivo,Hace 2 años,"https://www.google.com/maps/place/Plaza+Vea/@-12.0849708,-76.978382,17z/data=!4m8!3m7!1s0x9105c7b29d8327ab:0x53a1dec5abe39636!8m2!3d-12.0849761!4d-76.9758071!9m1!1b1!16s%2Fg%2F1tcw4phd?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Variedad y frutas frescas. Que fue lo principal en esa visita. Adicionalmente un pan con hotdog para acompañar el jugo de fruta.,variedad y frutas frescas que fue lo principal en esa visita adicionalmente un pan con hotdog para acompañar el jugo de fruta,128,22,False,False,False,False,True,positivo,True,False,
"Malisima...cola en la calle y partida en dos para no tapar acceso a edificio aledaño, para luego ingresar y hacer mas cola, por el tema del covid solo funcionan 40% de ventanillas, una es del supervisor y esta con dos trabajadores al lado no se haciendo que, pero sin checar qie la gente no avanza en ser atendida y que cada vez es mas tarde, una hora y media para que me dieran un chip...la mayoria de trabajadores se los ve conversando y payaseando, sobre todo los varones, una pena y una desgracia ser atendido asi",Claro,Miraflores,Telecomunicaciones,1,muy negativo,Fecha de edición: Hace 4 años,"https://www.google.com/maps/place/Claro+%7C+Centro+de+Atenci%C3%B3n+%7C+Miraflores/@-12.0671125,-77.1219397,12z/data=!4m12!1m2!2m1!1sclaro+miraflores!3m8!1s0x9105c81937703e63:0xc13d8f83068682dc!8m2!3d-12.1238173!4d-77.0294468!9m1!1b1!15sChBjbGFybyBtaXJhZmxvcmVzIgOIAQFaEiIQY2xhcm8gbWlyYWZsb3Jlc5IBI3RlbGVjb21tdW5pY2F0aW9uc19zZXJ2aWNlX3Byb3ZpZGVy4AEA!16s%2Fg%2F11xbgjr16?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Malisima...cola en la calle y partida en dos para no tapar acceso a edificio aledaño, para luego ingresar y hacer mas cola, por el tema del covid solo funcionan 40% de ventanillas, una es del supervisor y esta con dos trabajadores al lado no se haciendo que, pero sin checar qie la gente no avanza en ser atendida y que cada vez es mas tarde, una hora y media para que me dieran un chip...la mayoria de trabajadores se los ve conversando y payaseando, sobre todo los varones, una pena y una desgracia ser atendido asi",malisima cola en la calle y partida en dos para no tapar acceso a edificio aledaño para luego ingresar y hacer mas cola por el tema del covid solo funcionan 40 de ventanillas una es del supervisor y esta con dos trabajadores al lado no se haciendo que pero sin checar qie la gente no avanza en ser atendida y que cada vez es mas tarde una hora y media para que me dieran un chip la mayoria de trabajadores se los ve conversando y payaseando sobre todo los varones una pena y una desgracia ser atendido asi,517,98,False,False,False,False,True,muy negativo,True,False,
Excelente y cordial trato. La cola suele ser larga y toma mas tiempo para los usuarios externos como yo donde se tiene prioridad a los clientes directos. Aun asi siempre he tebido suerte de recibir atención y orientación oportuna en ventanilla y plataforma,BCP,San Isidro,Banca,5,muy positivo,Hace 8 años,"https://www.google.com/maps/place/BCP+San+Isidro/@-12.0961228,-77.0269497,20.83z/data=!4m8!3m7!1s0x9105c85f941b2e8b:0x359976aa0d0f7ea1!8m2!3d-12.0960539!4d-77.0267931!9m1!1b1!16s%2Fg%2F1tg_bk7g?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Excelente y cordial trato. La cola suele ser larga y toma mas tiempo para los usuarios externos como yo donde se tiene prioridad a los clientes directos. Aun asi siempre he tebido suerte de recibir atención y orientación oportuna en ventanilla y plataforma,excelente y cordial trato la cola suele ser larga y toma mas tiempo para los usuarios externos como yo donde se tiene prioridad a los clientes directos aun asi siempre he tebido suerte de recibir atención y orientación oportuna en ventanilla y plataforma,256,43,False,False,False,False,True,muy positivo,True,False,
"Por Campaña Navideña he visto buenos productos a un precio aceptable, algo negativo quizá es que la diversidad de marcas no es la misma que se tenía antes (puede deberse a la pandemia, el lugar tiene suficiente espacio y están respetando los protocolos de seguridad, en general un local muy balanceado, mucho mejor ordenado que otros locales de Ripley.",Ripley,Jockey Plaza,Retail,4,positivo,Hace 5 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Por Campaña Navideña he visto buenos productos a un precio aceptable, algo negativo quizá es que la diversidad de marcas no es la misma que se tenía antes (puede deberse a la pandemia, el lugar tiene suficiente espacio y están respetando los protocolos de seguridad, en general un local muy balanceado, mucho mejor ordenado que otros locales de Ripley.",por campaña navideña he visto buenos productos a un precio aceptable algo negativo quizá es que la diversidad de marcas no es la misma que se tenía antes puede deberse a la pandemia el lugar tiene suficiente espacio y están respetando los protocolos de seguridad en general un local muy balanceado mucho mejor ordenado que otros locales de ripley,352,59,False,False,False,False,True,positivo,True,False,
Hermoso y novedoso lugar para hacer compras desde la comodidad de tu distrito . Ideal para pasear y compartir,Wong,La Molina,Retail,4,positivo,Hace 2 años,"https://www.google.com/maps/place/Wong+La+Molina/@-12.0909119,-77.371532,10z/data=!4m12!1m2!2m1!1swong+la+molina!3m8!1s0x9105c71a9112c9a1:0xf1ccb920f195bc5b!8m2!3d-12.0919991!4d-76.9514207!9m1!1b1!15sCg53b25nIGxhIG1vbGluYSIDiAEBWhAiDndvbmcgbGEgbW9saW5hkgELc3VwZXJtYXJrZXSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRTYkdSdVdYUlJWa1p5Vld4UmQxTkZNVE5VUjJSeVRsaG9UMUpWUlJBQuABAPoBBAgAECE!16s%2Fg%2F1tm8g106?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Hermoso y novedoso lugar para hacer compras desde la comodidad de tu distrito . Ideal para pasear y compartir,hermoso y novedoso lugar para hacer compras desde la comodidad de tu distrito ideal para pasear y compartir,109,18,False,False,False,False,True,positivo,True,False,
Muy amplio y variado sin embargo el pasadizo entre las cajeras y los andamios tienen productos y góndolas que hacen el tránsito fastidioso para el cliente. Antes era más amplio.,Tottus,Jockey Plaza,Retail,4,positivo,Hace 7 años,"https://www.google.com/maps/place/Tottus+Jockey+Plaza/@-12.0852978,-76.9891988,15z/data=!3m1!5s0x9105c7b3a8d76aa9:0xc6d50a7cd5ae2fea!4m8!3m7!1s0x9105c7b3024900c7:0x1999107f53756036!8m2!3d-12.085319!4d-76.978899!9m1!1b1!16s%2Fg%2F11bzrfl12g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Muy amplio y variado sin embargo el pasadizo entre las cajeras y los andamios tienen productos y góndolas que hacen el tránsito fastidioso para el cliente. Antes era más amplio.,muy amplio y variado sin embargo el pasadizo entre las cajeras y los andamios tienen productos y góndolas que hacen el tránsito fastidioso para el cliente antes era más amplio,177,30,False,False,False,False,True,positivo,True,False,
"Personal amigable, buen ambiente. Pero si tienes un problema se vuelve un infierno",Falabella,Jockey Plaza,Retail,1,muy negativo,Hace 7 meses,"https://www.google.com/maps/place/Falabella+Jockey+Plaza/@-12.0865358,-76.9882888,15z/data=!4m8!3m7!1s0x9105c7b24f9a0559:0x828b01774db724c1!8m2!3d-12.086557!4d-76.977989!9m1!1b1!16s%2Fg%2F1tc_s1z8?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Personal amigable, buen ambiente. Pero si tienes un problema se vuelve un infierno",personal amigable buen ambiente pero si tienes un problema se vuelve un infierno,82,13,False,False,False,False,True,muy negativo,True,False,
Hermosa edificación,BBVA,San Isidro,Banca,5,muy positivo,Hace 2 años,"https://www.google.com/maps/place/BBVA+San+Isidro/@-12.0989572,-77.1197103,12z/data=!4m12!1m2!2m1!1sbbva+san+isidro!3m8!1s0x9105c8f55f4010bb:0x5808600f510cfb91!8m2!3d-12.0939282!4d-77.0211518!9m1!1b1!15sCg9iYnZhIHNhbiBpc2lkcm-SAQRiYW5r4AEA!16s%2Fg%2F1226g4gx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Hermosa edificación,hermosa edificación,19,2,True,False,False,False,True,muy positivo,True,True,comentario_corto
"Todo bien con Saga Falabella, sin embargo la atención en uno de sus stands (el de BENEFIT, especificamente) deja mucho que desear. Estuve como 10 mins parada buscando a alguien que me venda el fijador de cejas (habían dos chicas de Benefit pero como estuvieron conversando todo el rato entre ellas pensé que no atendían o algo, a pesar de estar literalmente al frente de ellas) pregunté por el servicio de depilación de cejas y me dijeron que me acerque otro día o saque cita (cuando no tenían clientes.. yo era la única jaja) No sé, creo que la chica no quería vender ese día. Me encanta la marca pero pésima la atención!! 🙁",Falabella,Miraflores,Retail,2,negativo,Hace un año,"https://www.google.com/maps/place/Falabella+Miraflores/@-12.1189161,-77.0396353,15z/data=!3m1!5s0x9105c81763e2747b:0x674025098786c509!4m8!3m7!1s0x9105c8176149b98f:0xa9c9d111f1acf623!8m2!3d-12.1189373!4d-77.0293355!9m1!1b1!16s%2Fg%2F1hf33fyft?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Todo bien con Saga Falabella, sin embargo la atención en uno de sus stands (el de BENEFIT, especificamente) deja mucho que desear. Estuve como 10 mins parada buscando a alguien que me venda el fijador de cejas (habían dos chicas de Benefit pero como estuvieron conversando todo el rato entre ellas pensé que no atendían o algo, a pesar de estar literalmente al frente de ellas) pregunté por el servicio de depilación de cejas y me dijeron que me acerque otro día o saque cita (cuando no tenían clientes.. yo era la única jaja) No sé, creo que la chica no quería vender ese día. Me encanta la marca pero pésima la atención!! 🙁",todo bien con saga falabella sin embargo la atención en uno de sus stands el de benefit especificamente deja mucho que desear estuve como 10 mins parada buscando a alguien que me venda el fijador de cejas habían dos chicas de benefit pero como estuvieron conversando todo el rato entre ellas pensé que no atendían o algo a pesar de estar literalmente al frente de ellas pregunté por el servicio de depilación de cejas y me dijeron que me acerque otro día o saque cita cuando no tenían clientes yo era la única jaja no sé creo que la chica no quería vender ese día me encanta la marca pero pésima la atención,625,113,False,False,False,False,True,negativo,True,False,
"Un supermercado ordenado, limpio y con buena atención. Me gusta porque, a diferencia de otros más grandes, este Wong es más tranquilo y fácil de recorrer. Siempre encuentro productos frescos, sobre todo en la parte de frutas, verduras y panadería. Tienen buenas opciones para compras rápidas o si estás por la zona y necesitas algo puntual. Además, el personal es atento y suelen tener más cajas abiertas, así que no demoras tanto en la fila. Está dentro de Balta Shopping, así que es súper práctico si quieres aprovechar para hacer otras compras o trámites en un solo lugar. Ideal si vives cerca o trabajas por la zona.",Wong,Miraflores,Retail,5,muy positivo,Hace 11 meses,"https://www.google.com/maps/place/Wong+Balta/@-12.0918647,-77.0830566,13z/data=!4m12!1m2!2m1!1swong+miraflores!3m8!1s0x9105c818937627d1:0x58b52912789b6072!8m2!3d-12.1229264!4d-77.0321381!9m1!1b1!15sCg93b25nIG1pcmFmbG9yZXMiA4gBAVoRIg93b25nIG1pcmFmbG9yZXOSAQtzdXBlcm1hcmtldOABAA!16s%2Fg%2F11b6gnjz11?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Un supermercado ordenado, limpio y con buena atención. Me gusta porque, a diferencia de otros más grandes, este Wong es más tranquilo y fácil de recorrer. Siempre encuentro productos frescos, sobre todo en la parte de frutas, verduras y panadería. Tienen buenas opciones para compras rápidas o si estás por la zona y necesitas algo puntual. Además, el personal es atento y suelen tener más cajas abiertas, así que no demoras tanto en la fila. Está dentro de Balta Shopping, así que es súper práctico si quieres aprovechar para hacer otras compras o trámites en un solo lugar. Ideal si vives cerca o trabajas por la zona.",un supermercado ordenado limpio y con buena atención me gusta porque a diferencia de otros más grandes este wong es más tranquilo y fácil de recorrer siempre encuentro productos frescos sobre todo en la parte de frutas verduras y panadería tienen buenas opciones para compras rápidas o si estás por la zona y necesitas algo puntual además el personal es atento y suelen tener más cajas abiertas así que no demoras tanto en la fila está dentro de balta shopping así que es súper práctico si quieres aprovechar para hacer otras compras o trámites en un solo lugar ideal si vives cerca o trabajas por la zona,620,107,False,False,False,False,True,muy positivo,True,False,
