comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url
"Un lugar súper ordenado, limpio y con muchísimas tiendas con los más variados productos, muchos de ellos de marca y lógicamente al ser de marca son caros. El patio de comidas tiene un abanico de opciones, los baños limpios",Ripley,Jockey Plaza,Retail,5,muy positivo,Hace 2 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Acudí a comprar un par de zapatillas en el tercer nivel solicite la talla y modelo y me lo trajeron y las reviso y veo que tiene una mancha en la parte delantera por lo que solicito otro par y me dice que no hay más y le solicito que vean en el sistema en que tienda tienen disponible lo que vine a comprar y me dijeron primero que no se puede hacer eso y después hacen el supuesto de ubicar el producto y me dicen que hay disponibilidad solo en la tienda one line y demoran cinco días en la entrega, yo me pregunto como una cadena de tiendas no puede tener un producto y por qué? Ofrecen un producto que mella la presencia del producto y de la tienda, se que cualquiera diría que es inconsebible que está tienda venda zapatillas sucias como si fuera una tienda de remates o una tienda de venta de garage o de pulgas y menos aún una tienda ubicada en el centro comercial del jockey plaza,para evitar está incomodidad en los clientes deberían tener prohibida la venta de zapatillas sucias para que el cliente se retire satisfecho de la tienda para que vuelva a comprar feliz y satisfecho",Ripley,Jockey Plaza,Retail,1,muy negativo,Fecha de edición: Hace 3 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Considero que el personal tiene toda la voluntad y pericia para brindar atención a los clientes, pero lo que pasa es que la empresa no cuenta con productos que marquen la diferencia con las otras tiendas del sector. Se ha perdido las exclusividades que en antaño brindaban los principales ""basares"" que habían en Lima. Ahora todos los enseres son iguales o muy parecidos por lo que no generan voluntad de compra entre los usuarios.",Ripley,Jockey Plaza,Retail,3,neutral,Hace 3 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Exelente muy bueno .ofertas increibles,Ripley,Jockey Plaza,Retail,5,muy positivo,Fecha de edición: Hace 6 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Cierra a las 9 30 pm asi que a las 9 10 vayan haciendo cola se congestiona demasiado,Ripley,Jockey Plaza,Retail,4,positivo,Fecha de edición: Hace 3 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Me gustan bastantes de sus productos, en comparación con saga me parece tienen mejores precios (por ej. una refrigeradora de la misma marca y modelo probable esta mas económico en ripley, etc.) Sin embargo le quité una estrella porque en la tienda suena solo reggaeton,🤢 y si me he olvidado mis audífonos no soporto comprar al ritmo de ""Yo no tengo dinero pa' darte..."" 😭🤮 me baja el buen humor al toque.",Ripley,Jockey Plaza,Retail,4,positivo,Hace 4 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Aquí tienen horario de apertura a las 10, sin embargo abren a la 11 :)",Ripley,Jockey Plaza,Retail,1,muy negativo,Hace 2 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Por favor corrijan el horario de apertura es mentira que habrán a las 10 am.,Ripley,Jockey Plaza,Retail,1,muy negativo,Hace 2 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Realmente pésimo. Fuimos a dar de baja una tarjeta de crédito Ripley y tardamos cómo 2 horas. Inventan mil excusas para no cancelar la tarjeta, ya cuando se les acabaron las excusas salieron con que se cayó el sistema. Tuvimos que amenazarlos con denunciarlos para que al final hicieran el trámite. Pésimo. Y la verdad lo que te ahorras en las ofertas de la tienda te lo cobran en los intereses de la tarjeta. No vale la pena, es mejor comprar con cualquier medio de pago menos con tarjeta Ripley",Ripley,Jockey Plaza,Retail,1,muy negativo,Hace 5 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"En general, sobre el jocjey plaza me pareció que las señalizaciones estan ausentes, las tiendas no numeradas, uno tiene que buscar alguien de seguridad para preguntar y ni explican de forma amable. No está a la altura",Ripley,Jockey Plaza,Retail,2,negativo,Hace 2 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"La experiencia de retiro en tienda, es lo peor. Por más que tú selecciones un horario disponible, cuando se supone tienes todo listo, debería ser más ágil. Comprobar ticket sellar y entregar, por persona casi media hora.",Ripley,Jockey Plaza,Retail,1,muy negativo,Hace 5 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Como cualquier tienda, en épocas de pandemia y de protocolos, la verdad que es ridículo lo que hacen según ellos cuidando al cliente. Una cosa es prevenir y otra estorbar. Además que entre los vendedores no hay ningún distanciamiento social y no creo que todos vivan juntos o se hagan pruebas frecuentes.",Ripley,Jockey Plaza,Retail,3,neutral,Hace 5 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Me vendieron una lavadora y hasta pagué la entrega a domicilio. Esperé todo el dia y no llegaron. Falta de respeto y no avisaron nada. Resulta que no tenían en stock. Ha pasado mas de una semana y no me devuelven el dinero aún.,Ripley,Jockey Plaza,Retail,1,muy negativo,Hace 6 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Fue una mala experiencia. Primero nos orientaron mal, luego de ir del 1er al 4to piso, nos enviaron al 2do piso, a hacer una cola que no avanzaba (atención al cliente) debido a que sólo atendía una señorita que por ratos se iba. Después fuimos a cambiar el producto, cero empatía de los vendedores, atentos más a sus celulares. En caja la experiencia no fue muy distinta.",Ripley,Jockey Plaza,Retail,2,negativo,Hace 5 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Siempre con lindos escenarios para fotos q cambian por temporada, los baños limpios sin costo, como el.covid ah ido bajando ya permiten la entrada de niños pero siempre.con la mascarilla, hay ofertas como 2x1 y rebajas en todo x cierre de año. Era sáb 9pm y aún había gente",Ripley,Jockey Plaza,Retail,5,muy positivo,Hace 5 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"La atención ha mejorado a lo largo de los años, también se incrementó el personal de apoyo en las compras lo cual facilita encontrar productos y hacer más rápida la.compra. Además han iniciado al parecer un sistema de fidelizacion con los clientes ya que en mi caso, siempre me llaman a consultar que tal fue mi experiencia, me ofrecen descuentos personalizados y más. Lo único que podrían mejorar es el nivel de variedad de marcas en la tienda, por ejm no tienen MK que si lo tiene saga, entre otras marcas.",Ripley,Jockey Plaza,Retail,4,positivo,Fecha de edición: Hace 7 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Es la segunda vez que tenemos problemas con esta tienda. A la hora de los cambios tienen que llamar al encargado de cambios y se demoran muchísimo. Y ni hablar ahora que es temporada de fiestas, en este momento es entendíble pero en octubre fui a cambiar por tallas más grandes y sin embargo paso exactamente lo mismo. Le doy 2 estrellas porque 1 se la gano la chicas que atiende en el área de zapatos para bebes que no atendió de Primer ya que necesitaba 3 pares de zapatos y el tema de tallas según la marca es diferente. En verdad voy a ir a cualquier tienda menos a la de jockey. Pésimo en caja!!!",Ripley,Jockey Plaza,Retail,2,negativo,Hace 6 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Muy lindo lugar,Ripley,Jockey Plaza,Retail,5,muy positivo,Hace 7 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Tienen variedad de marcas de ropa , excelentes accesorios , buenas ofertas , la ambientación muy interesante siempre están cambiando y mejorando la presentación de la tienda. Realmente una experiencia placentera que anima a regresar de shopping.",Ripley,Jockey Plaza,Retail,5,muy positivo,Hace 3 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Buen lugar para comprar, pero deberían ofrecer tarjeta de puntos a cualquier persona que lo solicite con su DNI o Carnet de extranjería y así darse cuenta que tanto consume un cliente por la cantidad de puntos acumulados e incentivar al cliente con un crédito de bien venida, sin trabas y tanto papeleo, para que siga comprando sus productos o hacer canjes de puntos por productos. Es mi humilde opinión en marketing.",Ripley,Jockey Plaza,Retail,4,positivo,Fecha de edición: Hace 8 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Un lugar para hacer compras de todo tipo, hay muchas ofertas. Tiene seccion de mujeres, hombres, niños, niñas, zapatillas de hombre y mujer, deporte, electrodomesticos, muebles de casa, tanto para interior como exterior, tambien tiene jugueteria y computadoras. Un ambiente donde los vendedores son amables.",Ripley,Jockey Plaza,Retail,5,muy positivo,Hace 7 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Pésima atención. Llegue 10 minutos antes del horario de cierre indicado en su página web y no me dejaron ingresar. Genere el reclamo en el libro de reclamaciones y me indican en la respuesta que solo lo van a reportar al encargado de la tienda. Que poca seriedad y celeridad. Terrible!!!! Jamás volveré a comprar en su tienda,Ripley,Jockey Plaza,Retail,1,muy negativo,Hace 5 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Buen espacio y todo pero el personal 0/10 , te hablan mal",Ripley,Jockey Plaza,Retail,3,neutral,Hace un año,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Me gustas ir por qué encuentras de todo muy limpio , buenos restaurantes , tiendas muy variadas",Ripley,Jockey Plaza,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Los cajeros no son visibles ante tantos anuncios colocados dentro del establecimiento, las pantallas que hay en columnas para verificar los saldos, cuentas por pagar y otros están usualmente averiados y lo que es más, los jóvenes que ofrecen tarjetas y créditos te abordan por doquier y si no les das tus datos, insisten para que adquieras una tarjeta y obviamente para que vivan de tí. A pesar de haberte ofrecido, se olvidan que te ofrecieron y al cabo de unas vueltas vuelven a insistirte por la tarjeta. Lo que nunca te van a decir es que si te pasas un día en el pago, fuíste..!! y te aplican mora, impuestos, membresía, condiciones inhumanas de préstamo. De eso viven.",Ripley,Jockey Plaza,Retail,2,negativo,Hace 4 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Todo bien, ya saben q en el jockey es ordenado pero pese a q era sábado y casi 3pm, solo habían dos cajas atendiendo en el primer piso. No sé a q hora las aumentan, si es q lo hacen, pero a esa hora ya era una cola larga.",Ripley,Jockey Plaza,Retail,4,positivo,Hace 4 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Gran variedad de.tiemdas y productos si o si encuentras lo que buscas .....fue una experiencia agradable,Ripley,Jockey Plaza,Retail,3,neutral,Hace un año,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Falta un poco mas variedad de ropa para damas, cuando buscamos ropa formal para mi esposa casi nunca la encontramos. Por lo demás está bien.",Ripley,Jockey Plaza,Retail,4,positivo,Hace 3 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Terrible tráfico, no había estacionamientos disponibles, los ambulantes invadían las veredas y pistas de acceso. No lo aconsejo para esta época de fiestas",Ripley,Jockey Plaza,Retail,1,muy negativo,Fecha de edición: Hace un año,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Es el cetro comercial bastante completo y agradable para hacer compras, pero la verdad que su tarjeta bebé crédito bsi fue un dolor de cabeza por eso dejé de comprar en el l tienda después de años me animé a entrar",Ripley,Jockey Plaza,Retail,4,positivo,Hace 7 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"El del jockey es uno de los ripleys mas grande de lima, no solo tiene muchísima variedad, si no que, además, está relativamente bien ubicado dentro del centro comercial, los precios son los mismos que en los demás ripleys y si bien la selección es más grande que en otras tiendas, tampoco están cerca de ofrecer nada mejor que tiendas más especializadas, por lo que, si no saben bien lo que necesitan, vayan acá, pero si ese no es el caso, busquen en otro lado",Ripley,Jockey Plaza,Retail,3,neutral,Hace 6 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Con las giftcard de Ripley SÓLO se pueden comprar los productos que tienen en tienda, no por web, si te arriesgas a ir a tienda y no te interesa ninguno de los pocos productos interesantes que tienen no puedes hacer nada y te dicen que sólo te queda perder la giftcard y no te dan ninguna opción adicional. Su trato y servicio es pésimo. Hay mejores opciones dónde ir a comprar.",Ripley,Jockey Plaza,Retail,2,negativo,Fecha de edición: Hace 5 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Fui a ver lo de mi tarjeta ya que no me llegó mi estado de cuenta a mi domicilio ni a mi correo electrónico a ver si tenía deuda o no lo cual si tenía los analistas que me atendieron la primera fue buena la segunda también pero la tercera analista no se le dio la gana, mi huella digital no registraba tenía mi DNI a la.mano pero no se le dio la gana de atenderme por estar conversando con sus compañeros debo decir que el DNI por error lleve el qué estaba cambiado pero era yo la misma y le pedí por favor ya que no disponía de tiempo pero nada conclusión no recogera la tarjeta ya no lo quiero es más el trámite era para pedir exoneración de la penalidad porque no recibí comunicación alguna de Ripley. .",Ripley,Jockey Plaza,Retail,4,positivo,Hace 6 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"A pesar de las restricciones, el local con bastante gente. Ripley a implementado cajas virtuales pero muy poca gente lo usa. Si bien están haciendo bien las cosas, creo que aún se puede mejorar",Ripley,Jockey Plaza,Retail,4,positivo,Hace 5 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"El distanciamiento y los aforos si bien se aplican en lo reglamentario desde mi ver es preferible hacer las compras en línea y evitar la compra presencial, es al fin y al cabo un lugar cerrado sin ventilación natural dónde los más descontrolados al interior de la tienda son los padres con niños que no soportan las condiciones de protección Covid 19",Ripley,Jockey Plaza,Retail,1,muy negativo,Hace 5 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Bueno hemos ingresado a varias tiendas del Jockey plaza y cuando compras te deen la bolsa de papel , es una ayuda .. Algunas tiendas lucran con la bolsa te cobran que dicen son biodegradables pero huelen a malogrado podrían supervisar eso !!",Ripley,Jockey Plaza,Retail,4,positivo,Hace 3 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Él banco Ripley es un banco que no sabe respetar las normas y los reglamentos de la empresa a sus clientes te conbran de mas y no respetan las coutas que uno pone al comprar sus productos al.principio te engancha todo va bien y después vienen los problemas yo no recomendaría sacar esta tarjeta de delincuentes estafadores y que incumple su reglamento tienen muchas denuncias en indecopi no deberíamos consumir a esta empresa para que se largue del Perú son Delincuentes,Ripley,Jockey Plaza,Retail,1,muy negativo,Hace 7 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Buena precios, casi siempre tienen rebajas, hay marcas que no están en todos los Ripley, sugiero no comprar por su pag. Web porque la mayoría de veces no entregan el producto ni devuelven el dinero, lo mismo pasa cuando se devuelven personalmente, dicen que realizarán el abono a la tarjeta con la cual se pagó, pero tampoco lo hacen. Por lo general su personal es amable. Deben entregar bolsas de papel o de tela para poder llevar sus productos.",Ripley,Jockey Plaza,Retail,3,neutral,Hace 6 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Hoy sábado salí a buscar un televisor de 70 pulgadas y encontré hasta de 80, había de todas las marcas Sony, Samsung, LG los de menor precio que encontré eran de marcas no reconocidas. Buscaba uno que tenga el sistema operativo android, me paso que por tener el sistema operativo independiente de la misma marca, mi televisor no se puede actualizar. Bueno es uno antiguo. Amplia tienda buen servicio precio competitivos",Ripley,Jockey Plaza,Retail,4,positivo,Hace 5 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
"Por Campaña Navideña he visto buenos productos a un precio aceptable, algo negativo quizá es que la diversidad de marcas no es la misma que se tenía antes (puede deberse a la pandemia, el lugar tiene suficiente espacio y están respetando los protocolos de seguridad, en general un local muy balanceado, mucho mejor ordenado que otros locales de Ripley.",Ripley,Jockey Plaza,Retail,4,positivo,Hace 5 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
