comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url,comentario_limpio,texto_modelo,longitud_caracteres,cantidad_palabras,comentario_corto,sin_contenido_alfabetico,duplicado_global,duplicado_empresa_sede,estrellas_validas,sentimiento_esperado,sentimiento_consistente,requiere_revision,motivo_revision,sentimiento_modelo,polaridad_modelo,confianza_modelo,prob_neg,prob_neu,prob_pos,sentimiento_final,sentimiento_final_provisional,requiere_revision_etiqueta,confianza_etiqueta,motivo_revision_etiqueta,sentimiento_final_original,sentimiento_final_origen,sentimiento_ia,confianza_ia,justificacion_ia,usar_etiqueta_ia,sentimiento_ia_neutral,confianza_ia_neutral,justificacion_ia_neutral,usar_etiqueta_ia_neutral,regla_aplicada
"Banco ubicado en la Sede de esta institución, muy seguro y confiable.",BCP,La Molina,Banca,5,muy positivo,Hace 10 años,"https://www.google.com/maps/place/BCP+Sede+Central/@-12.1165405,-77.3505486,10z/data=!4m12!1m2!2m1!1sbcp+la+molina!3m8!1s0x9105c6c34f1fe2c7:0xa091f19f413baad7!8m2!3d-12.0695085!4d-76.9370266!9m1!1b1!15sCg1iY3AgbGEgbW9saW5hIgOIAQFaDyINYmNwIGxhIG1vbGluYZIBBGJhbmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXRiazFNVVhKblJSQULgAQD6AQQIABBB!16s%2Fg%2F1tvw5_7n?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Banco ubicado en la Sede de esta institución, muy seguro y confiable.",banco ubicado en la sede de esta institución muy seguro y confiable,69,12,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.7549644708633423,0.0099344877526164,0.235100969672203,0.7549644708633423,muy positivo,muy positivo,False,media,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Tiempo de espera promedio 1Hora, atención pésima desde la entrada, demora en caja, personal desatento y no demuestran amabilidad, no cambio de operador porque Entel es un mal menor.",Entel,San Miguel,Telecomunicaciones,1,muy negativo,Hace 2 años,"https://www.google.com/maps/place/TIENDA+PLAZA+SAN+MIGUEL+-+ENTEL/@-12.0763584,-77.0928335,15z/data=!3m1!5s0x9105c971d670aa0f:0x8193992371f626fa!4m8!3m7!1s0x9105c96d7da22637:0x682badb0e9bd7614!8m2!3d-12.0763796!4d-77.0825337!9m1!1b1!16s%2Fg%2F11b6qyzz6h?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Tiempo de espera promedio 1Hora, atención pésima desde la entrada, demora en caja, personal desatento y no demuestran amabilidad, no cambio de operador porque Entel es un mal menor.",tiempo de espera promedio 1hora atención pésima desde la entrada demora en caja personal desatento y no demuestran amabilidad no cambio de operador porque entel es un mal menor,181,29,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9702484607696532,0.9702484607696532,0.0254756547510623,0.0042759426869452,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
Muy lindo lugar tiene muchas tiendas limpio ordenado excelente lugar,Ripley,San Miguel,Retail,5,muy positivo,Hace 4 meses,"https://www.google.com/maps/place/Ripley+Plaza+San+Miguel/@-12.0774696,-77.0929724,15z/data=!4m8!3m7!1s0x9105c96d3859bb15:0xb58d1362f3ff5e0e!8m2!3d-12.0774908!4d-77.0826726!9m1!1b1!16s%2Fg%2F1tkkvyrf?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Muy lindo lugar tiene muchas tiendas limpio ordenado excelente lugar,muy lindo lugar tiene muchas tiendas limpio ordenado excelente lugar,68,10,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9778684973716736,0.002597558312118,0.0195339582860469,0.9778684973716736,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Muy mala atención en este recinto, el sujeto que atiende para sacar ticket tiene mal humor y pésimo trato, no se da cuenta que es un simple empleado. Las personas allí no están correctamente capacitadas y no tienen actitud para apoyar a revolver problemas. Mi caso es sobre una reposición que hicieron mal, me pasearon 2 días (3 personas distintas) y encima me dijeron que iban a reportar a Entel Chile para que vea el incidente que demoraba 3 días más (Sarta de ignorantes). Entel debe evaluar a su personal con visitas inopinadas en esta oficina de san isidro. Deja mucho que desear. Lo que hice es irme a otra oficina de Entel para descartar, fui a la de Av. Aviación 2647; y finalmente encontré solución, en esta oficina el que saca ticket es muy amable con acceso a información. Y ni que decir de la plataforma que me tocó (Nro 7), una señorita inteligente, con buena actitud , con capacidad de decisión y paciencia para atender.",Entel,San Isidro,Telecomunicaciones,1,muy negativo,Hace 6 años,"https://www.google.com/maps/place/TIENDA+PASEO+DE+LA+REPUBLICA+-+ENTEL/@-12.0982674,-77.0367448,15z/data=!3m1!5s0x9105c86f3dde4ac1:0x933beb97bca362e3!4m8!3m7!1s0x9105c865ea057e4f:0x4b6811f4738d98a0!8m2!3d-12.0982886!4d-77.026445!9m1!1b1!16s%2Fg%2F1vs1syvx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Muy mala atención en este recinto, el sujeto que atiende para sacar ticket tiene mal humor y pésimo trato, no se da cuenta que es un simple empleado. Las personas allí no están correctamente capacitadas y no tienen actitud para apoyar a revolver problemas. Mi caso es sobre una reposición que hicieron mal, me pasearon 2 días (3 personas distintas) y encima me dijeron que iban a reportar a Entel Chile para que vea el incidente que demoraba 3 días más (Sarta de ignorantes). Entel debe evaluar a su personal con visitas inopinadas en esta oficina de san isidro. Deja mucho que desear. Lo que hice es irme a otra oficina de Entel para descartar, fui a la de Av. Aviación 2647; y finalmente encontré solución, en esta oficina el que saca ticket es muy amable con acceso a información. Y ni que decir de la plataforma que me tocó (Nro 7), una señorita inteligente, con buena actitud , con capacidad de decisión y paciencia para atender.",muy mala atención en este recinto el sujeto que atiende para sacar ticket tiene mal humor y pésimo trato no se da cuenta que es un simple empleado las personas allí no están correctamente capacitadas y no tienen actitud para apoyar a revolver problemas mi caso es sobre una reposición que hicieron mal me pasearon 2 días 3 personas distintas y encima me dijeron que iban a reportar a entel chile para que vea el incidente que demoraba 3 días más sarta de ignorantes entel debe evaluar a su personal con visitas inopinadas en esta oficina de san isidro deja mucho que desear lo que hice es irme a otra oficina de entel para descartar fui a la de av aviación 2647 y finalmente encontré solución en esta oficina el que saca ticket es muy amable con acceso a información y ni que decir de la plataforma que me tocó nro 7 una señorita inteligente con buena actitud con capacidad de decisión y paciencia para atender,934,166,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9823281764984132,0.9823281764984132,0.0154124181717634,0.002259406261146,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"Mala atención, me pasé a e-sim y nunca me llegó el correo. Tuve que ir a otra sede.",Entel,San Miguel,Telecomunicaciones,1,muy negativo,Hace 7 meses,"https://www.google.com/maps/place/TIENDA+PLAZA+SAN+MIGUEL+-+ENTEL/@-12.0763584,-77.0928335,15z/data=!3m1!5s0x9105c971d670aa0f:0x8193992371f626fa!4m8!3m7!1s0x9105c96d7da22637:0x682badb0e9bd7614!8m2!3d-12.0763796!4d-77.0825337!9m1!1b1!16s%2Fg%2F11b6qyzz6h?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Mala atención, me pasé a e-sim y nunca me llegó el correo. Tuve que ir a otra sede.",mala atención me pasé a e sim y nunca me llegó el correo tuve que ir a otra sede,83,19,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9101517200469972,0.9101517200469972,0.085913710296154,0.0039346194826066,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
Pesima atención al cliente por parte del cajero y del administrador,Falabella,Miraflores,Retail,1,muy negativo,Hace 4 meses,"https://www.google.com/maps/place/Falabella+Miraflores/@-12.1189161,-77.0396353,15z/data=!3m1!5s0x9105c81763e2747b:0x674025098786c509!4m8!3m7!1s0x9105c8176149b98f:0xa9c9d111f1acf623!8m2!3d-12.1189373!4d-77.0293355!9m1!1b1!16s%2Fg%2F1hf33fyft?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Pesima atención al cliente por parte del cajero y del administrador,pesima atención al cliente por parte del cajero y del administrador,67,11,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9753332138061525,0.9753332138061525,0.0204488392919302,0.0042178654111921,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"LA PEOR ATENCIÓN DEL MUNDO, UN DESASTRE LOS ADMINISTRADORES, UNA VERGÜENZA!!! FUI Y NOS ESTAFARON CON SU PROMOCIÓN, NOS CAMBIARON LA HISTORIA 3 VECES, NUNCA MÁS VUELVO",Plaza Vea,Jockey Plaza,Retail,1,muy negativo,Hace 9 meses,"https://www.google.com/maps/place/Plaza+Vea/@-12.0849708,-76.978382,17z/data=!4m8!3m7!1s0x9105c7b29d8327ab:0x53a1dec5abe39636!8m2!3d-12.0849761!4d-76.9758071!9m1!1b1!16s%2Fg%2F1tcw4phd?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","LA PEOR ATENCIÓN DEL MUNDO, UN DESASTRE LOS ADMINISTRADORES, UNA VERGÜENZA!!! FUI Y NOS ESTAFARON CON SU PROMOCIÓN, NOS CAMBIARON LA HISTORIA 3 VECES, NUNCA MÁS VUELVO",la peor atención del mundo un desastre los administradores una vergüenza fui y nos estafaron con su promoción nos cambiaron la historia 3 veces nunca más vuelvo,167,27,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9706436395645142,0.9706436395645142,0.0249657984822988,0.004390649497509,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"Pésima atención!!! Las personas encargadas de derivar a los módulos, no tienen idea de lo que hacen. Nos tuvieron esperando a mi hija y a mi, 2 horas y media para cambio de pre pago a post pago y cambio de equipo, esto bien explicado a la srta. que da los tickets en la entrada. Cuando x fin nos llamaron, el señor de la ventanilla nos dijo que teníamos que haber ido, de frente, a cambio de equipo y que ahí mismo teníamos que cambiar de pre a post pago. La verdad, ni siquiera merecen la puntita de una estrella. Pésimo, pésimo, re pésimo!!!",Movistar,Miraflores,Telecomunicaciones,1,muy negativo,Hace 8 años,"https://www.google.com/maps/place/Movistar/@-12.1186158,-77.03333,16z/data=!4m12!1m2!2m1!1smovistar+miraflores!3m8!1s0x9105c81c0cef6c61:0x2aed58e607474fbf!8m2!3d-12.1248277!4d-77.026139!9m1!1b1!15sChNtb3Zpc3RhciBtaXJhZmxvcmVzIgOIAQFaFSITbW92aXN0YXIgbWlyYWZsb3Jlc5IBEXRlbGVwaG9uZV9jb21wYW554AEA!16s%2Fg%2F11bc73m4zm?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Pésima atención!!! Las personas encargadas de derivar a los módulos, no tienen idea de lo que hacen. Nos tuvieron esperando a mi hija y a mi, 2 horas y media para cambio de pre pago a post pago y cambio de equipo, esto bien explicado a la srta. que da los tickets en la entrada. Cuando x fin nos llamaron, el señor de la ventanilla nos dijo que teníamos que haber ido, de frente, a cambio de equipo y que ahí mismo teníamos que cambiar de pre a post pago. La verdad, ni siquiera merecen la puntita de una estrella. Pésimo, pésimo, re pésimo!!!",pésima atención las personas encargadas de derivar a los módulos no tienen idea de lo que hacen nos tuvieron esperando a mi hija y a mi 2 horas y media para cambio de pre pago a post pago y cambio de equipo esto bien explicado a la srta que da los tickets en la entrada cuando x fin nos llamaron el señor de la ventanilla nos dijo que teníamos que haber ido de frente a cambio de equipo y que ahí mismo teníamos que cambiar de pre a post pago la verdad ni siquiera merecen la puntita de una estrella pésimo pésimo re pésimo,543,104,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9786950945854188,0.9786950945854188,0.0187815837562084,0.0025232920888811,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
De los pocos centros comerciales que no cobran estacionamiento. Muy bueno 😊…,Ripley,San Miguel,Retail,5,muy positivo,Hace 10 meses,"https://www.google.com/maps/place/Ripley+Plaza+San+Miguel/@-12.0774696,-77.0929724,15z/data=!4m8!3m7!1s0x9105c96d3859bb15:0xb58d1362f3ff5e0e!8m2!3d-12.0774908!4d-77.0826726!9m1!1b1!16s%2Fg%2F1tkkvyrf?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",De los pocos centros comerciales que no cobran estacionamiento. Muy bueno 😊…,de los pocos centros comerciales que no cobran estacionamiento muy bueno,76,11,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.973965585231781,0.0024770468007773,0.0235574226826429,0.973965585231781,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Pésima atención, se demoran horas en atenderte, no hay varios productos, la información que te dan se contradice con la de la página web o con la que te dan en atención telefónica. Pedí el libro de reclamaciones y no lo tienen en físico ya que lo hacen a computadora escribiendo lo que ellos quieren por lo tanto ellos siempre siempre tienen la razón... etc",Claro,Miraflores,Telecomunicaciones,1,muy negativo,Hace 8 años,"https://www.google.com/maps/place/Claro+%7C+Centro+de+Atenci%C3%B3n+%7C+Miraflores/@-12.0671125,-77.1219397,12z/data=!4m12!1m2!2m1!1sclaro+miraflores!3m8!1s0x9105c81937703e63:0xc13d8f83068682dc!8m2!3d-12.1238173!4d-77.0294468!9m1!1b1!15sChBjbGFybyBtaXJhZmxvcmVzIgOIAQFaEiIQY2xhcm8gbWlyYWZsb3Jlc5IBI3RlbGVjb21tdW5pY2F0aW9uc19zZXJ2aWNlX3Byb3ZpZGVy4AEA!16s%2Fg%2F11xbgjr16?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Pésima atención, se demoran horas en atenderte, no hay varios productos, la información que te dan se contradice con la de la página web o con la que te dan en atención telefónica. Pedí el libro de reclamaciones y no lo tienen en físico ya que lo hacen a computadora escribiendo lo que ellos quieren por lo tanto ellos siempre siempre tienen la razón... etc",pésima atención se demoran horas en atenderte no hay varios productos la información que te dan se contradice con la de la página web o con la que te dan en atención telefónica pedí el libro de reclamaciones y no lo tienen en físico ya que lo hacen a computadora escribiendo lo que ellos quieren por lo tanto ellos siempre siempre tienen la razón etc,357,65,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9697607755661012,0.9697607755661012,0.0276264920830726,0.0026127400342375,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"Hay muchas ofertas, encontré precios bajos en libros para niños. Es muy variado y sobretodo en postres encontré una gran variedad y hechos en el mismo día. El lugar es seguro y cuenta con una gran estacionamiento. Hay comercio fuera del supermercado.",Metro,San Miguel,Retail,5,muy positivo,Hace 7 años,"https://www.google.com/maps/place/Metro+La+Marina/@-12.0891802,-77.3715373,10z/data=!4m12!1m2!2m1!1smetro+san+miguel!3m8!1s0x9105c97023499e85:0xcdd5aa58f24e5e51!8m2!3d-12.0766255!4d-77.0891354!9m1!1b1!15sChBtZXRybyBzYW4gbWlndWVsWhIiEG1ldHJvIHNhbiBtaWd1ZWySAQtzdXBlcm1hcmtldJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObE5UVXlObk5uUlJBQuABAPoBBAgAEEE!16s%2Fg%2F12vqp1m59?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Hay muchas ofertas, encontré precios bajos en libros para niños. Es muy variado y sobretodo en postres encontré una gran variedad y hechos en el mismo día. El lugar es seguro y cuenta con una gran estacionamiento. Hay comercio fuera del supermercado.",hay muchas ofertas encontré precios bajos en libros para niños es muy variado y sobretodo en postres encontré una gran variedad y hechos en el mismo día el lugar es seguro y cuenta con una gran estacionamiento hay comercio fuera del supermercado,250,42,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9490332007408142,0.0023469720035791,0.0486198514699935,0.9490332007408142,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"En esta tienda Entel la atención es muy buena y anda vacía osea no hay colas, si deseas realizar cualquier gestión lo puedes hacer.con comodidad. Muy recomendable.",Entel,San Isidro,Telecomunicaciones,5,muy positivo,Hace 5 años,"https://www.google.com/maps/place/TIENDA+PASEO+DE+LA+REPUBLICA+-+ENTEL/@-12.0982674,-77.0367448,15z/data=!3m1!5s0x9105c86f3dde4ac1:0x933beb97bca362e3!4m8!3m7!1s0x9105c865ea057e4f:0x4b6811f4738d98a0!8m2!3d-12.0982886!4d-77.026445!9m1!1b1!16s%2Fg%2F1vs1syvx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","En esta tienda Entel la atención es muy buena y anda vacía osea no hay colas, si deseas realizar cualquier gestión lo puedes hacer.con comodidad. Muy recomendable.",en esta tienda entel la atención es muy buena y anda vacía osea no hay colas si deseas realizar cualquier gestión lo puedes hacer con comodidad muy recomendable,163,28,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.7253289818763733,0.0154809448868036,0.2591900825500488,0.7253289818763733,muy positivo,muy positivo,False,media,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Tiene todo lo que debería un plaza vea, pero este se distingue por tener más variedad en ropa que otros. Ambiente agradable, buenos precios y buenas atención",Plaza Vea,Jockey Plaza,Retail,5,muy positivo,Hace 5 años,"https://www.google.com/maps/place/Plaza+Vea/@-12.0849708,-76.978382,17z/data=!4m8!3m7!1s0x9105c7b29d8327ab:0x53a1dec5abe39636!8m2!3d-12.0849761!4d-76.9758071!9m1!1b1!16s%2Fg%2F1tcw4phd?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Tiene todo lo que debería un plaza vea, pero este se distingue por tener más variedad en ropa que otros. Ambiente agradable, buenos precios y buenas atención",tiene todo lo que debería un plaza vea pero este se distingue por tener más variedad en ropa que otros ambiente agradable buenos precios y buenas atención,157,27,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9610568881034852,0.0038543385453522,0.0350887738168239,0.9610568881034852,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
Buenas opciones.,Wong,La Molina,Retail,5,muy positivo,Hace 5 años,"https://www.google.com/maps/place/Wong+La+Molina/@-12.0909119,-77.371532,10z/data=!4m12!1m2!2m1!1swong+la+molina!3m8!1s0x9105c71a9112c9a1:0xf1ccb920f195bc5b!8m2!3d-12.0919991!4d-76.9514207!9m1!1b1!15sCg53b25nIGxhIG1vbGluYSIDiAEBWhAiDndvbmcgbGEgbW9saW5hkgELc3VwZXJtYXJrZXSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRTYkdSdVdYUlJWa1p5Vld4UmQxTkZNVE5VUjJSeVRsaG9UMUpWUlJBQuABAPoBBAgAECE!16s%2Fg%2F1tm8g106?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Buenas opciones.,buenas opciones,16,2,True,False,False,False,True,muy positivo,True,True,comentario_corto,POS,positivo,0.6557541489601135,0.0238359980285167,0.3204098343849182,0.6557541489601135,muy positivo,muy positivo,True,baja,revision_limpieza,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Se puede pasear, cenar y andar tranquilo.",Wong,Miraflores,Retail,4,positivo,Hace 5 meses,"https://www.google.com/maps/place/Wong+Balta/@-12.0918647,-77.0830566,13z/data=!4m12!1m2!2m1!1swong+miraflores!3m8!1s0x9105c818937627d1:0x58b52912789b6072!8m2!3d-12.1229264!4d-77.0321381!9m1!1b1!15sCg93b25nIG1pcmFmbG9yZXMiA4gBAVoRIg93b25nIG1pcmFmbG9yZXOSAQtzdXBlcm1hcmtldOABAA!16s%2Fg%2F11b6gnjz11?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Se puede pasear, cenar y andar tranquilo.",se puede pasear cenar y andar tranquilo,41,7,False,False,False,False,True,positivo,True,False,,POS,positivo,0.82379549741745,0.0071119298227131,0.1690926253795623,0.82379549741745,positivo,positivo,False,alta,,positivo,consistencia_estrella_modelo,,,,,,,,,
"La atención fue muy rápida, me gustó",Wong,Miraflores,Retail,5,muy positivo,Hace 4 años,"https://www.google.com/maps/place/Wong+Balta/@-12.0918647,-77.0830566,13z/data=!4m12!1m2!2m1!1swong+miraflores!3m8!1s0x9105c818937627d1:0x58b52912789b6072!8m2!3d-12.1229264!4d-77.0321381!9m1!1b1!15sCg93b25nIG1pcmFmbG9yZXMiA4gBAVoRIg93b25nIG1pcmFmbG9yZXOSAQtzdXBlcm1hcmtldOABAA!16s%2Fg%2F11b6gnjz11?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","La atención fue muy rápida, me gustó",la atención fue muy rápida me gustó,36,7,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9636152386665344,0.0037202367093414,0.0326644517481327,0.9636152386665344,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"EXCELENTE ATENCIÓN, LOS VENDEDORES SON MUY AMABLES. ADEMÁS, LOS EQUIPOS ESTÁN EN EXHIBICIÓN, PUEDES MANIPULARLOS Y ASÍ ELEGIR MEJOR, EL LOCAL ES AMPLIO Y BONITO.",Claro,Plaza Norte,Telecomunicaciones,5,muy positivo,Hace 8 años,"https://www.google.com/maps/place/Claro+-+Plaza+Norte/@-12.0696528,-77.1716353,12z/data=!4m12!1m2!2m1!1sclaro+los+olivos!3m8!1s0x9105cefcfd8c6d8b:0x6ff66af64c01e943!8m2!3d-12.006859!4d-77.0599056!9m1!1b1!15sChBjbGFybyBsb3Mgb2xpdm9zIgOIAQFaEiIQY2xhcm8gbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xxm9n4g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","EXCELENTE ATENCIÓN, LOS VENDEDORES SON MUY AMABLES. ADEMÁS, LOS EQUIPOS ESTÁN EN EXHIBICIÓN, PUEDES MANIPULARLOS Y ASÍ ELEGIR MEJOR, EL LOCAL ES AMPLIO Y BONITO.",excelente atención los vendedores son muy amables además los equipos están en exhibición puedes manipularlos y así elegir mejor el local es amplio y bonito,161,25,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.966730773448944,0.0028459299355745,0.0304232984781265,0.966730773448944,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Es la torre Entel, en su primer piso se encuentra la tienda de atención al cliente y a la vez venta de equipos.",Entel,San Isidro,Telecomunicaciones,5,muy positivo,Hace 8 años,"https://www.google.com/maps/place/TIENDA+PASEO+DE+LA+REPUBLICA+-+ENTEL/@-12.0982674,-77.0367448,15z/data=!3m1!5s0x9105c86f3dde4ac1:0x933beb97bca362e3!4m8!3m7!1s0x9105c865ea057e4f:0x4b6811f4738d98a0!8m2!3d-12.0982886!4d-77.026445!9m1!1b1!16s%2Fg%2F1vs1syvx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Es la torre Entel, en su primer piso se encuentra la tienda de atención al cliente y a la vez venta de equipos.",es la torre entel en su primer piso se encuentra la tienda de atención al cliente y a la vez venta de equipos,111,23,False,False,False,False,True,muy positivo,True,False,,NEU,neutral,0.6995441913604736,0.0196125991642475,0.6995441913604736,0.2808431684970855,neutral,muy positivo,True,baja,sin_etiqueta_final_confiable,,regla_voto_ponderado,,,,,,,,,R1_estrellas_altas_neu_neutral
"Muy mal servicio , te haces 10mil preguntas y la única que deberían hacer es si van a comprar equipo para que pasen directo , como si los clientes activos no les generamos ingresos , de verdad ni modo este es mi Perú , donde la atención al cliente para las empresas no significa nada , Indecopi y Osiptel pintados por las puras están .",Claro,Plaza Norte,Telecomunicaciones,1,muy negativo,Hace 5 años,"https://www.google.com/maps/place/Claro+-+Plaza+Norte/@-12.0696528,-77.1716353,12z/data=!4m12!1m2!2m1!1sclaro+los+olivos!3m8!1s0x9105cefcfd8c6d8b:0x6ff66af64c01e943!8m2!3d-12.006859!4d-77.0599056!9m1!1b1!15sChBjbGFybyBsb3Mgb2xpdm9zIgOIAQFaEiIQY2xhcm8gbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xxm9n4g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Muy mal servicio , te haces 10mil preguntas y la única que deberían hacer es si van a comprar equipo para que pasen directo , como si los clientes activos no les generamos ingresos , de verdad ni modo este es mi Perú , donde la atención al cliente para las empresas no significa nada , Indecopi y Osiptel pintados por las puras están .",muy mal servicio te haces 10mil preguntas y la única que deberían hacer es si van a comprar equipo para que pasen directo como si los clientes activos no les generamos ingresos de verdad ni modo este es mi perú donde la atención al cliente para las empresas no significa nada indecopi y osiptel pintados por las puras están,335,59,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9819297194480896,0.9819297194480896,0.0153606673702597,0.002709608990699,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"Vine solamente para hacer un trámite en el banco Falabella, tiempo de espera larguísimo y no se puede convalidar estacionamiento fines de semana. Una desgracia NO RECOMIENDO Ni tengan tarjeta CMR, en todos sus centros es el mismo problema o peor aún, está fuera de servicio, en su Web lo muestran como activo, vas por gusto y encima te cobran estacionamiento. Después de esto le daré de baja a la tarjeta. Primera y última experiencia con el Banco Falabella.",Falabella,San Isidro,Retail,1,muy negativo,Hace 10 meses,"https://www.google.com/maps/place/Falabella+San+Isidro/@-12.095059,-77.0353392,15z/data=!3m1!5s0x9105c8659f44c175:0xad6aabac9e79ccf4!4m8!3m7!1s0x9105c8659f618827:0xeb62a6d2d04ae434!8m2!3d-12.0950802!4d-77.0250394!9m1!1b1!16s%2Fg%2F12vr6lfkt?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Vine solamente para hacer un trámite en el banco Falabella, tiempo de espera larguísimo y no se puede convalidar estacionamiento fines de semana. Una desgracia NO RECOMIENDO Ni tengan tarjeta CMR, en todos sus centros es el mismo problema o peor aún, está fuera de servicio, en su Web lo muestran como activo, vas por gusto y encima te cobran estacionamiento. Después de esto le daré de baja a la tarjeta. Primera y última experiencia con el Banco Falabella.",vine solamente para hacer un trámite en el banco falabella tiempo de espera larguísimo y no se puede convalidar estacionamiento fines de semana una desgracia no recomiendo ni tengan tarjeta cmr en todos sus centros es el mismo problema o peor aún está fuera de servicio en su web lo muestran como activo vas por gusto y encima te cobran estacionamiento después de esto le daré de baja a la tarjeta primera y última experiencia con el banco falabella,458,79,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9645494222640992,0.9645494222640992,0.0323846191167831,0.0030660782940685,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
